Total energy production (Mtoe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (%) ,2000 - 2018 (%/year) 
CIS,"1 656,07","1 564,64","1 453,25","1 361,54","1 249,82","1 215,41","1 208,49","1 167,63","1 175,69","1 208,16","1 256,43","1 297,26","1 347,46","1 436,48","1 506,19","1 554,80","1 602,50","1 641,24","1 679,87","1 589,00","1 692,20","1 737,32","1 759,27","1 786,49","1 765,71","1 768,72","1 798,19","1 862,20","1 932,76","3,79","2,42"
Kazakhstan,"90,98","91,87","89,52","78,89","71,20","63,85","63,71","65,55","64,81","66,12","78,57","84,00","91,26","101,98","114,70","118,64","127,86","132,20","144,46","148,05","156,88","160,27","164,64","169,07","166,29","164,08","162,69","180,21","189,57","5,19","5,01"
Russia,"1 295,90","1 219,64","1 143,34","1 062,76","994,07","969,80","969,15","937,48","943,51","961,74","977,63","1 007,84","1 045,91","1 119,09","1 171,95","1 202,93","1 226,65","1 238,78","1 253,61","1 190,31","1 279,03","1 299,04","1 315,65","1 330,82","1 319,25","1 334,26","1 373,48","1 429,20","1 492,24","4,41","2,38"
Ukraine,"126,60","110,78","104,27","94,68","82,62","77,89","70,63","71,25","70,82","71,55","72,15","71,91","72,51","71,56","74,23","79,18","82,37","83,21","84,29","79,38","78,81","85,61","85,27","86,24","77,27","64,41","66,17","57,98","58,34","0,61","-1,17"
Uzbekistan,"38,65","39,64","40,76","42,91","46,21","48,77","49,21","51,43","54,53","55,17","55,08","55,65","56,37","56,54","58,08","56,54","58,62","59,94","62,18","56,79","55,13","57,31","56,88","54,16","55,85","55,99","50,97","51,28","53,94","5,19","-0,12"
America,"2 543,04","2 568,27","2 590,37","2 578,22","2 683,59","2 725,73","2 807,88","2 849,87","2 887,94","2 853,03","2 884,90","2 919,69","2 904,83","2 903,93","2 984,87","3 002,42","3 073,17","3 063,00","3 085,83","3 057,42","3 124,41","3 222,64","3 274,59","3 355,21","3 519,67","3 519,39","3 394,60","3 479,47","3 622,28","4,10","1,27"
North America,"1 923,42","1 924,22","1 938,52","1 910,30","1 993,34","2 006,55","2 034,15","2 037,91","2 062,12","2 034,77","2 040,26","2 065,79","2 042,26","2 022,51","2 046,07","2 033,04","2 073,07","2 089,94","2 111,88","2 080,06","2 126,07","2 200,52","2 245,83","2 323,06","2 483,31","2 498,06","2 394,57","2 511,63","2 700,96","7,54","1,57"
Canada,"276,12","287,40","296,39","318,40","341,13","351,93","360,73","367,18","370,70","369,32","377,21","381,41","386,02","387,76","399,95","401,10","417,88","420,07","409,47","393,62","400,86","413,97","425,42","445,05","467,98","470,38","473,95","504,39","525,77","4,24","1,86"
United States,"1 647,29","1 636,82","1 642,13","1 591,90","1 652,22","1 654,61","1 673,42","1 670,72","1 691,41","1 665,45","1 663,05","1 684,38","1 656,25","1 634,75","1 646,12","1 631,94","1 655,19","1 669,88","1 702,41","1 686,45","1 725,20","1 786,54","1 820,41","1 878,01","2 015,33","2 027,68","1 920,61","2 007,24","2 175,20","8,37","1,50"
Latin America,"619,62","644,05","651,85","667,91","690,25","719,19","773,73","811,97","825,82","818,27","844,64","853,91","862,57","881,43","938,80","969,38","1 000,11","973,05","973,95","977,36","998,35","1 022,12","1 028,77","1 032,15","1 036,36","1 021,33","1 000,03","967,84","921,32","-4,81","0,48"
Argentina,"48,42","50,22","54,33","57,14","62,43","67,13","72,58","76,80","79,54","80,51","82,90","85,23","82,88","86,12","86,36","84,69","86,03","83,09","82,50","81,07","79,51","77,95","75,87","72,48","72,94","73,77","75,76","74,20","76,56","3,18","-0,44"
Brazil,"104,43","105,02","104,99","105,91","110,96","112,32","118,88","126,60","133,73","141,63","147,81","151,82","167,53","178,49","182,71","195,00","206,67","216,94","228,80","231,28","247,33","249,61","250,83","252,16","266,09","277,55","284,16","292,04","292,16","0,04","3,86"
Chile,"7,93","8,35","8,63","8,23","8,32","8,30","8,33","8,36","8,11","7,96","8,58","9,08","9,08","8,56","8,55","9,34","9,62","9,37","9,73","10,21","9,22","9,88","13,02","14,61","12,38","12,08","12,54","12,46","13,26","6,39","2,45"
Colombia,"48,18","46,35","47,88","48,56","50,42","59,24","64,84","66,73","72,71","75,55","72,33","72,10","68,34","73,43","75,32","78,60","83,60","86,58","92,62","98,21","105,93","120,36","124,53","127,66","130,08","128,10","124,54","122,66","118,90","-3,07","2,80"
Mexico,"195,18","203,73","203,08","206,32","205,34","203,89","214,12","225,74","225,88","224,54","228,35","233,51","236,71","250,97","253,61","258,54","259,36","247,52","228,11","224,49","214,51","216,81","218,60","216,72","208,57","189,64","180,44","165,33","158,41","-4,19","-2,01"
Venezuela,"144,75","160,41","161,59","170,56","177,78","192,36","217,04","229,06","226,55","206,26","215,80","212,08","203,38","178,92","218,26","223,02","226,30","198,75","200,45","199,83","197,90","198,93","194,40","191,71","185,72","183,34","168,41","148,83","111,83","-24,86","-3,59"
Asia,"1 669,11","1 714,47","1 741,85","1 790,47","1 874,07","1 994,96","2 050,54","2 071,15","2 082,39","2 104,99","2 183,72","2 252,21","2 329,43","2 505,89","2 727,07","2 917,65","3 085,86","3 228,49","3 313,71","3 468,17","3 721,72","3 890,70","3 907,35","3 997,78","4 059,20","4 059,74","3 954,28","4 055,58","4 170,65","2,84","3,66"
China,"880,93","886,76","904,09","933,01","986,19","1 064,59","1 091,14","1 080,60","1 079,27","1 073,89","1 123,71","1 176,29","1 226,94","1 375,19","1 534,25","1 671,44","1 792,65","1 916,60","1 966,96","2 051,68","2 236,24","2 385,94","2 401,62","2 467,50","2 506,39","2 515,91","2 363,99","2 448,29","2 534,50","3,52","4,62"
India,"280,48","290,50","293,70","297,56","308,22","322,74","328,01","338,35","337,11","344,33","350,76","358,22","368,38","381,25","392,93","400,70","405,77","424,68","445,17","483,57","503,61","521,38","524,20","522,26","533,32","537,96","557,51","566,94","587,66","3,65","2,91"
Indonesia,"168,56","183,16","187,39","194,28","207,51","214,54","222,73","227,66","229,12","237,93","237,49","241,75","248,07","254,78","264,75","279,62","313,52","318,15","323,16","350,80","378,34","420,74","433,11","452,58","449,31","426,40","434,31","438,38","440,90","0,58","3,50"
Japan,"76,12","80,12","81,15","88,57","91,44","99,52","102,48","106,81","109,37","104,88","106,17","104,84","100,07","87,32","98,67","103,75","104,97","94,45","92,19","97,52","101,83","53,87","30,88","30,39","28,98","33,66","37,26","42,28","47,68","12,76","-4,35"
Malaysia,"48,37","52,60","53,99","56,07","57,98","64,40","70,45","74,54","75,12","73,60","77,71","78,88","82,02","85,36","92,68","96,56","94,02","93,87","97,03","90,53","90,20","88,36","87,81","93,52","95,16","96,97","98,30","101,76","97,80","-3,89","1,29"
South Korea,"23,68","23,17","20,92","20,66","20,08","22,09","23,36","24,80","28,32","32,23","36,31","37,20","37,61","41,00","42,10","46,59","47,77","47,11","49,60","49,39","50,52","53,03","53,30","51,28","57,53","61,74","62,38","62,56","61,43","-1,81","2,96"
Taiwan,"10,65","10,70","10,37","10,27","10,53","10,63","11,18","10,99","11,32","11,70","11,79","11,24","12,15","12,14","12,49","12,49","12,44","12,76","12,71","12,84","12,96","13,56","13,27","13,54","13,64","12,31","10,86","8,43","9,66","14,69","-1,10"
