Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (%) ,2000 - 2018 (%/year) 
CIS,"1 676,16","1 634,94","1 528,85","1 435,69","1 308,73","1 270,37","1 237,08","1 210,51","1 193,12","1 214,15","1 250,21","1 270,44","1 274,32","1 317,79","1 346,26","1 374,40","1 432,53","1 458,15","1 482,60","1 407,11","1 482,73","1 513,22","1 542,14","1 537,87","1 541,56","1 531,19","1 556,76","1 583,08","1 611,94","1,82","1,42"
Kazakhstan,"87,38","85,98","82,70","77,44","66,40","66,66","59,04","52,00","49,15","47,50","51,32","56,86","58,34","63,87","66,95","67,85","71,66","76,60","80,33","78,71","82,65","86,59","92,82","103,09","105,07","106,47","106,63","116,01","120,43","3,81","4,85"
Russia,"1 082,15","1 068,16","1 008,45","956,59","875,91","860,03","847,18","834,13","827,16","846,23","877,77","891,28","891,29","916,29","931,87","953,09","995,79","1 015,33","1 040,38","991,98","1 038,03","1 054,77","1 070,73","1 059,09","1 064,21","1 067,54","1 090,97","1 109,90","1 127,84","1,62","1,40"
Ukraine,"298,84","278,68","252,52","229,91","202,92","194,02","182,99","178,00","172,82","172,12","171,45","172,97","173,73","180,36","182,17","186,06","193,38","196,25","192,59","173,62","188,83","194,95","198,88","194,38","182,82","163,68","164,57","157,13","158,93","1,15","-0,42"
Uzbekistan,"56,33","54,17","50,91","49,15","47,80","47,45","45,42","46,05","45,90","45,37","46,86","47,96","49,31","49,40","50,00","49,20","50,92","48,95","49,40","49,95","51,70","52,40","52,50","54,20","55,40","57,28","58,32","60,09","62,23","3,56","1,59"
America,"4 305,93","4 425,12","4 471,38","4 636,83","4 761,06","4 911,86","5 057,48","5 126,76","5 292,73","5 409,59","5 640,87","5 430,57","5 657,48","5 732,34","5 882,85","6 072,24","6 113,89","6 235,04","6 305,50","6 108,21","6 357,64","6 428,27","6 420,34","6 498,84","6 557,69","6 566,96","6 588,74","6 555,91","6 702,86","2,24","0,96"
North America,"3 700,77","3 784,41","3 811,50","3 943,51","4 029,22","4 142,23","4 250,06","4 271,44","4 392,25","4 476,57","4 658,37","4 455,20","4 652,39","4 671,42","4 774,83","4 914,94","4 911,92","4 978,66","5 000,33","4 798,19","4 982,79","4 983,31","4 924,68","4 965,81","5 002,04","4 985,31","4 989,48","4 948,24","5 092,25","2,91","0,50"
Canada,"482,15","508,57","520,39","532,23","555,78","560,12","573,04","573,71","561,76","579,06","605,71","589,89","601,27","589,65","599,98","620,57","611,08","628,82","632,07","609,98","604,36","633,85","634,02","659,43","661,67","668,15","667,44","671,16","662,99","-1,22","0,50"
United States,"3 218,62","3 275,84","3 291,11","3 411,28","3 473,44","3 582,11","3 677,02","3 697,73","3 830,49","3 897,52","4 052,67","3 865,31","4 051,12","4 081,76","4 174,86","4 294,37","4 300,83","4 349,84","4 368,26","4 188,22","4 378,43","4 349,46","4 290,66","4 306,37","4 340,37","4 317,16","4 322,04","4 277,08","4 429,26","3,56","0,49"
Latin America,"605,16","640,70","659,88","693,33","731,84","769,63","807,41","855,32","900,48","933,02","982,49","975,38","1 005,10","1 060,92","1 108,02","1 157,30","1 201,98","1 256,38","1 305,18","1 310,02","1 374,85","1 444,96","1 495,65","1 533,03","1 555,65","1 581,66","1 599,26","1 607,67","1 610,61","0,18","2,78"
Argentina,"51,01","53,86","56,11","61,87","64,81","67,17","69,76","72,46","74,17","80,74","88,98","90,14","84,49","92,06","100,25","105,75","107,08","107,76","121,93","122,35","125,59","129,89","136,06","139,47","138,58","145,45","147,22","147,07","148,17","0,75","2,87"
Brazil,"222,82","234,38","241,73","251,98","260,04","275,60","291,28","307,98","321,75","334,72","348,91","328,51","345,67","364,34","387,45","403,03","419,34","445,15","463,07","466,12","515,75","531,76","552,62","571,10","590,65","581,65","578,89","587,95","596,44","1,44","3,02"
Chile,"18,37","19,96","22,36","24,00","25,28","28,03","30,73","33,30","35,51","38,39","40,08","42,53","43,67","46,83","51,21","52,48","55,32","58,51","59,70","60,72","60,43","65,71","69,75","73,07","70,75","75,39","79,31","78,95","80,55","2,03","3,95"
Colombia,"36,36","36,99","32,94","38,56","41,41","42,72","43,36","44,61","44,90","42,82","43,13","43,44","45,04","46,54","49,72","50,34","53,77","55,23","55,94","57,15","59,42","61,01","62,34","73,99","71,13","78,11","76,90","77,63","80,28","3,42","3,51"
Mexico,"115,84","128,57","132,86","135,67","147,13","152,25","157,69","167,49","182,30","191,51","205,68","213,99","218,22","236,22","237,58","250,77","257,80","265,27","269,32","267,75","275,54","302,75","307,23","297,33","301,50","310,72","320,35","313,37","320,16","2,17","2,49"
Venezuela,"59,32","63,34","67,44","69,38","71,22","73,45","75,59","78,07","80,90","80,62","85,27","90,12","91,85","91,94","98,55","105,38","110,42","114,21","119,30","119,58","113,77","117,96","121,65","123,16","126,14","122,72","112,58","118,51","100,32","-15,35","0,91"
Asia,"2 247,28","2 397,90","2 540,91","2 706,10","2 933,78","3 133,86","3 309,92","3 475,55","3 555,80","3 732,15","3 994,88","4 176,61","4 454,03","4 803,08","5 234,43","5 651,43","6 136,94","6 695,96","6 894,29","7 218,38","7 962,86","8 559,90","8 946,91","9 541,73","9 926,39","10 223,91","10 786,66","11 321,53","12 008,92","6,07","6,31"
China,"621,27","677,63","754,07","838,40","928,25","1 007,91","1 080,24","1 135,89","1 167,50","1 239,93","1 355,74","1 480,95","1 654,16","1 910,76","2 203,50","2 500,47","2 865,95","3 281,79","3 467,19","3 715,06","4 207,99","4 715,76","4 994,05","5 447,25","5 678,95","5 859,52","6 217,91","6 584,76","7 091,79","7,70","9,63"
India,"292,73","319,26","337,18","360,85","390,81","423,66","443,03","472,68","503,75","545,77","569,69","588,17","610,50","650,84","683,99","715,66","773,78","823,56","849,87","917,42","980,42","1 072,62","1 124,56","1 191,88","1 294,22","1 372,77","1 477,56","1 559,06","1 643,17","5,40","6,06"
Indonesia,"32,67","37,34","41,51","45,40","51,36","59,19","67,72","74,63","78,04","85,92","93,33","101,25","108,22","112,97","120,16","127,53","133,07","142,15","149,33","156,77","169,76","183,42","200,03","216,02","227,88","233,98","248,61","255,33","268,36","5,10","6,04"
Japan,"869,52","897,75","903,44","912,11","969,72","991,80","1 012,27","1 036,66","1 033,49","1 050,61","1 070,28","1 052,82","1 070,89","1 061,86","1 091,48","1 111,60","1 115,06","1 143,92","1 094,09","1 059,81","1 127,44","1 063,99","1 052,42","1 073,25","1 052,58","1 046,94","1 057,98","1 085,21","1 101,89","1,54","0,16"
Malaysia,"23,02","26,55","29,32","34,74","39,10","45,46","51,42","57,88","60,71","65,23","69,26","71,08","74,25","78,47","82,28","82,67","89,83","97,52","97,80","116,00","124,79","129,28","134,38","138,35","147,47","150,12","156,66","160,23","166,38","3,84","4,99"
South Korea,"105,37","114,82","126,17","144,81","163,52","183,86","205,38","224,70","217,89","237,50","290,13","310,96","331,88","345,19","368,16","389,39","404,02","427,32","446,43","454,50","499,51","523,29","534,62","542,00","550,93","552,70","562,60","576,23","593,35","2,97","4,05"
Taiwan,"90,21","99,18","105,53","115,21","124,64","133,12","141,96","150,49","163,19","169,47","184,86","188,54","198,84","209,07","218,40","227,36","235,46","243,12","238,31","229,69","247,00","252,02","250,34","252,35","260,03","258,03","264,14","270,28","273,61","1,23","2,20"
